name,language
British Transport Police,en-gb
Cardiff University,en-gb
Care Inspectorate Wales,en-gb
Chartered Institute for Public Finance and Accountancy (CIPFA),en-gb
Civil Aviation Authority,en-gb
Community Dental Services,en-gb
Department for Education,en-gb
"Department for Environment, Food and Rural Affairs",en-gb
Department for Transport,en-gb
Department for Work and Pensions (DWP),en-gb
Department of Health & Social Care,en-gb
Diabetic Eye Screening Wales (DESW),en-gb
Digital Health and Care Wales (DHCW),en-gb
Forestry Commission,en-gb
Further Education Institutions,en-gb
Health and Social Care Information Centre (HSCIC),en-gb
Health Behaviours in School-aged Children (HBSC),en-gb
Help to Buy Wales,en-gb
Higher Education Statistics Agency,en-gb
HM Land Registry,en-gb
HM Revenue and Customs (HMRC),en-gb
HM Treasury,en-gb
Home Office,en-gb
Iron and Steel Statistics Bureau,en-gb
Low Vision Service Wales,en-gb
Ministry of Justice,en-gb
Moorfields Eye Hospital,en-gb
National Atmospheric Emissions Inventory,en-gb
Natural Resources Wales,en-gb
NHS Blood and Transplant Service,en-gb
NHS Business Services Authority,en-gb
NHS Delivery Unit,en-gb
NHS Digital,en-gb
NHS Direct Wales,en-gb
NHS Organisations,en-gb
NHS Staff,en-gb
NHS Trusts and Local Health Boards,en-gb
NHS Wales Directory,en-gb
NHS Wales Shared Services Partnership,en-gb
Office for National Statistics (ONS),en-gb
Office of Rail and Road,en-gb
Ordnance Survey,en-gb
Organisation for Economic Co-operation and Development (OECD),en-gb
Public Health Wales,en-gb
Schools Health Research Network,en-gb
Sport Wales,en-gb
Student Loans Company,en-gb
Transport Focus,en-gb
Understanding Society (USOC),en-gb
Universities and Colleges Admissions Service (UCAS),en-gb
Visit Britain,en-gb
Visit Wales,en-gb
Welsh Ambulance Services NHS Trust,en-gb
Welsh Government,en-gb
Welsh Joint Education Committee,en-gb
Welsh Revenue Authority,en-gb
Woodland Trust,en-gb